loss,L1 component,KL component,MSE component,epoch,step
7.565730571746826,1.5699784755706787,4.911347389221191,1.084404706954956,6,24
4.015815258026123,1.2132660150527954,2.339529275894165,0.463019996881485,12,49
2.2890055179595947,0.9447799921035767,1.0967178344726562,0.24750769138336182,18,74
0.9104323387145996,0.710430383682251,0.09837508201599121,0.10162688046693802,24,99
0.6542097330093384,0.5051760673522949,0.12099316716194153,0.02804047055542469,31,124
0.4224976599216461,0.39910823106765747,0.0187367033213377,0.004652743227779865,37,149
0.32542818784713745,0.32239460945129395,0.002436959883198142,0.0005966198514215648,43,174
0.3447802662849426,0.34464550018310547,6.260986992856488e-05,7.216067024273798e-05,49,199
0.3049603998661041,0.3048478364944458,7.958479545777664e-05,3.300469325040467e-05,56,224
0.2781883180141449,0.27810487151145935,5.7139532145811245e-05,2.6329109459766187e-05,62,249
0.2893562912940979,0.2892756164073944,5.534807496587746e-05,2.531945392547641e-05,68,274
0.2984340786933899,0.2983968257904053,1.2350717952358536e-05,2.490727638360113e-05,74,299
0.26868823170661926,0.26860129833221436,6.204067904036492e-05,2.4890710847103037e-05,81,324
0.2903711497783661,0.2902851104736328,6.108092929935083e-05,2.493240754120052e-05,87,349
0.27418801188468933,0.27409666776657104,6.639755156356841e-05,2.4936767658800818e-05,93,374
0.26144781708717346,0.2614077031612396,1.5134147361095529e-05,2.498726280464325e-05,99,399
