mse_loss,l1_loss,kl_loss,loss,epoch,step
1532903552.0,74.35957336425781,7.972136875416617e+17,797215253594112.0,0,0
inf,5.299568736468992e+16,inf,inf,0,1
nan,nan,nan,nan,0,2
nan,nan,nan,nan,0,3
nan,nan,nan,nan,1,4
nan,nan,nan,nan,1,5
nan,nan,nan,nan,1,6
nan,nan,nan,nan,1,7
nan,nan,nan,nan,2,8
nan,nan,nan,nan,2,9
nan,nan,nan,nan,2,10
nan,nan,nan,nan,2,11
nan,nan,nan,nan,3,12
nan,nan,nan,nan,3,13
nan,nan,nan,nan,3,14
nan,nan,nan,nan,3,15
nan,nan,nan,nan,4,16
nan,nan,nan,nan,4,17
nan,nan,nan,nan,4,18
nan,nan,nan,nan,4,19
nan,nan,nan,nan,5,20
nan,nan,nan,nan,5,21
nan,nan,nan,nan,5,22
nan,nan,nan,nan,5,23
nan,nan,nan,nan,6,24
nan,nan,nan,nan,6,25
nan,nan,nan,nan,6,26
nan,nan,nan,nan,6,27
nan,nan,nan,nan,7,28
nan,nan,nan,nan,7,29
nan,nan,nan,nan,7,30
nan,nan,nan,nan,7,31
nan,nan,nan,nan,8,32
nan,nan,nan,nan,8,33
nan,nan,nan,nan,8,34
nan,nan,nan,nan,8,35
nan,nan,nan,nan,9,36
nan,nan,nan,nan,9,37
nan,nan,nan,nan,9,38
nan,nan,nan,nan,9,39
nan,nan,nan,nan,10,40
nan,nan,nan,nan,10,41
nan,nan,nan,nan,10,42
nan,nan,nan,nan,10,43
nan,nan,nan,nan,11,44
nan,nan,nan,nan,11,45
nan,nan,nan,nan,11,46
nan,nan,nan,nan,11,47
nan,nan,nan,nan,12,48
nan,nan,nan,nan,12,49
nan,nan,nan,nan,12,50
nan,nan,nan,nan,12,51
nan,nan,nan,nan,13,52
nan,nan,nan,nan,13,53
nan,nan,nan,nan,13,54
nan,nan,nan,nan,13,55
nan,nan,nan,nan,14,56
nan,nan,nan,nan,14,57
nan,nan,nan,nan,14,58
nan,nan,nan,nan,14,59
nan,nan,nan,nan,15,60
nan,nan,nan,nan,15,61
nan,nan,nan,nan,15,62
nan,nan,nan,nan,15,63
nan,nan,nan,nan,16,64
nan,nan,nan,nan,16,65
nan,nan,nan,nan,16,66
nan,nan,nan,nan,16,67
nan,nan,nan,nan,17,68
nan,nan,nan,nan,17,69
nan,nan,nan,nan,17,70
nan,nan,nan,nan,17,71
